1;12145678-ABC;17/3/2026;1;10000011-W;prueba_SA;GASTO GENERICO;false;2;100.0;false;0;10.0;110.0;90.0;0;0.0;200.0;0;
;;;;;;leche;;;;0.0;;0;0.0;0.0;;;;;
;;;;;;pan;;;;0.0;;0;0.0;0.0;;;;;
2;21456789-BAC;18/3/2026;1;10000011-W;prueba_SA;OTROS;false;1;100.0;false;10;10.0;110.0;0.0;0;0.0;110.0;1;NOTA1
;;;;;;bollos;;;;0.0;;0;0.0;0.0;;;;;
3;34567890-CEF;24/6/2026;1;10000011-W;prueba_SA;OTROS;true;1;100.0;false;10;10.0;110.0;0.0;0;0.0;-110.0;1;NOTA2
;;;;;;bollos;;;;0.0;;0;0.0;0.0;;;;;
4;45678901-DH;25/6/2026;2;11000011-P;expendaSA;GASTO GENERICO;false;3;200.0;false;0;31.0;231.0;69.0;0;0.0;300.0;0;
;;;;;;leche;;;;0.0;;0;0.0;0.0;;;;;
;;;;;;refrescos;;;;0.0;;0;0.0;0.0;;;;;
;;;;;;pan;;;;0.0;;0;0.0;0.0;;;;;
5;TEST-001;8/5/2026;0;A-11-;empresaSA;POUCOS;false;0;100.0;false;10;10.0;110.0;0.0;0;0.0;110.0;0;
6;TEST-002;5/5/2026;0;A-11-;empresaSA;POUCOS;false;0;1000.0;false;10;100.0;1100.0;200.0;0;0.0;1300.0;0;
7;TEST-003;5/5/2026;0;A-11-;empresaSA;FEW;true;0;100.0;false;10;10.0;110.0;0.0;0;0.0;-110.0;0;
8;test-004;5/5/2026;0;A-11-;empresaSA;FEW;false;0;100.0;false;0;0.0;100.0;0.0;0;0.0;100.0;0;
9;test-005;5/5/2026;0;Z-99-;empresaSA;FEW;true;0;100.0;false;0;0.0;100.0;0.0;0;0.0;-100.0;0;
10;test-006;5/5/2026;0;Z-99-;empresaSA;FEW;true;0;200.0;false;0;0.0;0.0;0.0;0;0.0;-200.0;0;
11;test-007;9/5/2026;0;Z-99-;empSA;GASTO;true;0;100.0;false;0;0.0;100.0;0.0;0;0.0;-100.0;0;
12;test-008;9/5/2026;0;Z-99-;empSA;GASTO;true;0;100.0;false;0;0.0;100.0;0.0;0;0.0;-100.0;0;
13;test-009;9/5/2026;0;Z-99-;empresaSA;GASTO;true;0;100.0;false;0;0.0;100.0;0.0;0;0.0;-100.0;0;
14;test-010;9/5/2026;0;Z-99-9999;empSYS;TEMA;true;0;300.0;false;0;0.0;300.0;0.0;0;0.0;-300.0;0;
